kabupaten,min_price,max_price,average_price,total_entries,UpahMinimum
KAB. BADUNG,1180000000,8890000000,3466388888.86,36,2996561
KAB. BANDUNG,280000000,7500000000,1733562499.98,48,2191232
KAB. BANDUNG BARAT,377000000,1900000000,830666666.67,9,2191232
KAB. BANGKA,13000000000,13500000000,13250000000.0,2,3876600
KAB. BANGKALAN,166000000,360000000,245750000.0,4,2305985
KAB. BANTUL,166000000,2700000000,1010100000.0,10,2264080
KAB. BEKASI,334000000,7490000000,1391801652.89,121,2191232
KAB. CIREBON,762000000,981000000,919750000.0,4,2191232
KAB. ENDE,2300000000,2300000000,2300000000.0,1,2328969
KAB. GARUT,525000000,899000000,712000000.0,2,2191232
KAB. JEMBER,166000000,1170000000,668000000.0,2,2305985
KAB. JOMBANG,166000000,239000000,202500000.0,2,2305985
KAB. KARANGANYAR,1290000000,1290000000,1290000000.0,1,2169349
KAB. KARAWANG,485000000,1700000000,992500000.0,8,2191232
KAB. KENDAL,332000000,594000000,449200000.0,10,2169349
KAB. KLATEN,285000000,1300000000,501526315.79,19,2169349
KAB. KLUNGKUNG,725000000,725000000,725000000.0,1,2996561
KAB. KUNINGAN,589000000,71900000000,36244500000.0,2,2191232
KAB. LANDAK,1770000000,42000000000,10285499999.95,20,2878286
KAB. LEBAK,1200000000,13000000000,4478571428.57,21,2905119
KAB. LOMBOK BARAT,185000000,3550000000,1166900000.0,10,2602931
KAB. LOMBOK TENGAH,3100000000,3100000000,3100000000.0,1,2602931
KAB. MALANG,530000000,3800000000,1595700000.0,10,2305985
KAB. PATI,6900000000,6900000000,6900000000.0,1,2169349
KAB. PURWAKARTA,98000000,493000000,295500000.0,2,2191232
KAB. SEMARANG,0,5900000000,1481315789.47,19,2169349
KAB. SIDOARJO,525000000,680000000,576666666.67,3,2305985
KAB. SLEMAN,354000000,4300000000,1295975609.76,41,2264080
KAB. SRAGEN,247000000,247000000,247000000.0,1,2169349
KAB. SUMEDANG,166000000,954000000,613800000.0,5,2191232
KAB. TANGERANG,400000000,27000000000,3379839826.84,231,2905119
KAB. WONOGIRI,275000000,275000000,275000000.0,1,2169349
KOTA BALIKPAPAN,786000000,2700000000,1743000000.0,2,3579313
KOTA BANDAR LAMPUNG,2880000000,2880000000,2880000000.0,1,2893070
KOTA BATAM,450000000,2500000000,1375947368.42,19,3623654
KOTA BOGOR,290000000,10000000000,1617320610.69,131,2191232
KOTA CIMAHI,599000000,1950000000,1149666666.67,3,2191232
KOTA DENPASAR,1290000000,6000000000,3359285714.29,14,2996561
KOTA DEPOK,60000000,7500000000,1557320754.72,106,2191232
KOTA MAKASSAR,396000000,1950000000,1135916666.67,12,3657527
KOTA MANADO,1400000000,1400000000,1400000000.0,1,3775425
KOTA MATARAM,410000000,3560000000,1339166666.67,6,2602931
KOTA MEDAN,399000000,2370000000,1438500000.0,6,2992559
KOTA PEKANBARU,2520000000,4290000000,3405000000.0,2,3508776
KOTA SAMARINDA,550000000,2200000000,1244444444.44,9,3579313
KOTA SURABAYA,712000000,27500000000,6639480000.0,25,2305985
KOTA TANGERANG SELATAN,390000000,24000000000,2599900826.45,121,2905119
KOTA YOGYAKARTA,1190000000,3000000000,1996666666.67,3,2264080
